Top_Prob,Lower_1,Lower_2,Lower_3,Lower_4,Gate,Recommendation
1.00E-05,1.00E-02,1.00E-03,1.00E-03,1.00E-02,0.00E+00,Add Redundancy
1.00E-09,1.00E-01,0.1,0.0001,0.0001,0.00E+00,
1.00E-03,1.00E-04,0.1,0.0001,0.0001,0.00E+00,
1.00E-07,1.00E-04,0.1,0.0001,0.0001,0.00E+00,
1.00E-07,1.00E-01,0.1,0.001,0.0001,0.00E+00,
1.00E-05,1.00E-03,0.001,0.1,0.01,0.00E+00,
1.00E-05,1.00E-03,0.001,0.0001,0.001,0.00E+00,
1.00E-09,1.00E-03,0.001,0.01,0.1,0.00E+00,
1.00E-07,1.00E-03,0.0001,0.01,0.0001,0.00E+00,
1.00E-07,1.00E-03,0.01,0.0001,0.001,0.00E+00,
1.00E-09,1.00E-02,0.1,0.001,0.01,0.00E+00,
1.00E-03,1.00E-04,0.01,0.1,0.01,0.00E+00,
1.00E-03,1.00E-04,0.1,0.1,0.1,0.00E+00,
1.00E-03,1.00E-03,0.01,0.0001,0.01,0.00E+00,
1.00E-03,1.00E-03,0.001,0.1,0.01,0.00E+00,
1.00E-03,1.00E-02,0.1,0.01,0.01,0.00E+00,
1.00E-07,1.00E-04,0.001,0.01,0.001,0.00E+00,
1.00E-07,1.00E-03,0.1,0.0001,0.1,0.00E+00,
1.00E-03,1.00E-02,0.0001,0.01,0.1,0.00E+00,
1.00E-07,1.00E-01,0.1,0.1,0.1,0.00E+00,
1.00E-09,1.00E-01,0.01,0.0001,0.01,0.00E+00,
1.00E-03,1.00E-01,0.0001,0.0001,0.0001,0.00E+00,
1.00E-05,1.00E-04,0.1,0.0001,0.0001,0.00E+00,
1.00E-09,1.00E-03,0.001,0.1,0.0001,0.00E+00,
1.00E-07,1.00E-02,0.0001,0.01,0.1,0.00E+00,
1.00E-05,1.00E-04,0.1,0.1,0.001,0.00E+00,
1.00E-05,1.00E-03,0.01,0.1,0.001,0.00E+00,
1.00E-07,1.00E-03,0.001,0.1,0.01,0.00E+00,
1.00E-07,1.00E-03,0.0001,0.1,0.001,0.00E+00,
1.00E-09,1.00E-01,0.001,0.01,0.1,0.00E+00,
1.00E-07,1.00E-01,0.001,0.001,0.1,0.00E+00,
1.00E-07,1.00E-03,0.0001,0.1,0.0001,0.00E+00,
1.00E-03,1.00E-04,0.0001,0.01,0.001,0.00E+00,
1.00E-09,1.00E-04,0.01,0.01,0.01,0.00E+00,
1.00E-09,1.00E-02,0.0001,0.1,0.01,0.00E+00,
1.00E-05,1.00E-04,0.0001,0.01,0.1,0.00E+00,
1.00E-05,1.00E-04,0.0001,0.001,0.0001,0.00E+00,
1.00E-03,1.00E-02,0.1,0.01,0.0001,0.00E+00,
1.00E-03,1.00E-04,0.001,0.1,0.001,0.00E+00,
1.00E-07,1.00E-04,0.001,0.0001,0.01,0.00E+00,
1.00E-07,1.00E-04,0.0001,0.0001,0.001,0.00E+00,
1.00E-05,1.00E-03,0.01,0.1,0.001,0.00E+00,
1.00E-05,1.00E-01,0.01,0.01,0.1,0.00E+00,
1.00E-07,1.00E-02,0.0001,0.1,0.01,0.00E+00,
1.00E-09,1.00E-02,0.1,0.01,0.0001,0.00E+00,
1.00E-07,1.00E-01,0.1,0.01,0.1,0.00E+00,
1.00E-03,1.00E-01,0.01,0.1,0.1,0.00E+00,
1.00E-05,1.00E-04,0.1,0.001,0.1,0.00E+00,
1.00E-07,1.00E-01,0.001,0.01,0.001,0.00E+00,
1.00E-05,1.00E-02,0.1,0.1,0.1,0.00E+00,
1.00E-09,1.00E-02,0.001,0.0001,0.01,0.00E+00,
1.00E-05,1.00E-02,0.01,0.01,0.001,0.00E+00,
1.00E-05,1.00E-02,0.01,0.0001,0.001,0.00E+00,
1.00E-07,1.00E-03,0.001,0.0001,0.1,0.00E+00,
1.00E-03,1.00E-04,0.1,0.01,0.01,0.00E+00,
1.00E-05,1.00E-04,0.01,0.001,0.01,0.00E+00,
1.00E-05,1.00E-03,0.001,0.01,0.0001,0.00E+00,
1.00E-09,1.00E-04,0.001,0.001,0.0001,0.00E+00,
1.00E-05,1.00E-02,0.01,0.01,0.001,0.00E+00,
1.00E-09,1.00E-04,0.1,0.0001,0.001,0.00E+00,
1.00E-03,1.00E-01,0.01,0.1,0.01,0.00E+00,
1.00E-07,1.00E-02,0.001,0.1,0.1,0.00E+00,
1.00E-05,1.00E-02,0.0001,0.1,0.01,0.00E+00,
1.00E-09,1.00E-04,0.1,0.001,0.0001,0.00E+00,
1.00E-03,1.00E-03,0.01,0.01,0.1,0.00E+00,
1.00E-05,1.00E-02,0.1,0.01,0.01,0.00E+00,
1.00E-03,1.00E-02,0.0001,0.0001,0.1,0.00E+00,
1.00E-07,1.00E-01,0.001,0.001,0.01,0.00E+00,
1.00E-07,1.00E-03,0.01,0.01,0.01,0.00E+00,
1.00E-05,1.00E-02,0.001,0.1,0.01,0.00E+00,
1.00E-07,1.00E-04,1.00E-01,1.00E-03,1.00E-02,1.00E+00,
1.00E-07,1.00E-02,0.1,0.1,0.0001,1.00E+00,
1.00E-09,1.00E-03,0.001,0.01,0.1,1.00E+00,
1.00E-05,1.00E-02,0.1,0.1,0.1,1.00E+00,
1.00E-03,1.00E-04,0.0001,0.01,0.0001,1.00E+00,
1.00E-05,1.00E-02,0.01,0.001,0.1,1.00E+00,
1.00E-05,1.00E-04,0.001,0.1,0.1,1.00E+00,
1.00E-03,1.00E-01,0.01,0.0001,0.0001,1.00E+00,
1.00E-07,1.00E-03,0.1,0.001,0.01,1.00E+00,
1.00E-09,1.00E-03,0.01,0.01,0.01,1.00E+00,
1.00E-09,1.00E-01,0.01,0.01,0.01,1.00E+00,
1.00E-03,1.00E-04,0.01,0.0001,0.001,1.00E+00,
1.00E-07,1.00E-03,0.0001,0.001,0.001,1.00E+00,
1.00E-03,1.00E-02,0.1,0.1,0.0001,1.00E+00,
1.00E-03,1.00E-02,0.01,0.001,0.0001,1.00E+00,
1.00E-07,1.00E-02,0.1,0.1,0.1,1.00E+00,
1.00E-07,1.00E-03,0.01,0.1,0.001,1.00E+00,
1.00E-09,1.00E-04,0.001,0.1,0.01,1.00E+00,
1.00E-03,1.00E-03,0.001,0.0001,0.01,1.00E+00,
1.00E-09,1.00E-03,0.1,0.0001,0.01,1.00E+00,
1.00E-05,1.00E-01,0.01,0.001,0.001,1.00E+00,
1.00E-07,1.00E-04,0.01,0.01,0.001,1.00E+00,
1.00E-03,1.00E-03,0.001,0.0001,0.01,1.00E+00,
1.00E-03,1.00E-03,0.001,0.01,0.01,1.00E+00,
1.00E-05,1.00E-01,0.01,0.01,0.0001,1.00E+00,
1.00E-09,1.00E-02,0.01,0.1,0.1,1.00E+00,
1.00E-03,1.00E-01,0.001,0.001,0.0001,1.00E+00,
1.00E-05,1.00E-04,0.001,0.001,0.0001,1.00E+00,
1.00E-07,1.00E-02,0.0001,0.001,0.01,1.00E+00,
1.00E-07,1.00E-01,0.1,0.0001,0.1,1.00E+00,
1.00E-07,1.00E-03,0.1,0.1,0.01,1.00E+00,
1.00E-07,1.00E-04,0.0001,0.001,0.0001,1.00E+00,
1.00E-09,1.00E-04,0.01,0.0001,0.001,1.00E+00,
1.00E-05,1.00E-01,0.0001,0.0001,0.0001,1.00E+00,
1.00E-07,1.00E-04,0.1,0.1,0.0001,1.00E+00,
1.00E-09,1.00E-01,0.001,0.0001,0.1,1.00E+00,
1.00E-05,1.00E-01,0.01,0.01,0.1,1.00E+00,
1.00E-07,1.00E-03,0.1,0.1,0.1,1.00E+00,
1.00E-05,1.00E-01,0.0001,0.0001,0.1,1.00E+00,
1.00E-07,1.00E-01,0.01,0.1,0.001,1.00E+00,
1.00E-03,1.00E-01,0.01,0.01,0.1,1.00E+00,
1.00E-07,1.00E-04,0.001,0.0001,0.0001,1.00E+00,
1.00E-07,1.00E-02,0.0001,0.001,0.001,1.00E+00,
1.00E-09,1.00E-04,0.0001,0.0001,0.001,1.00E+00,
1.00E-03,1.00E-04,0.01,0.0001,0.01,1.00E+00,
1.00E-05,1.00E-03,0.001,0.01,0.01,1.00E+00,
1.00E-07,1.00E-03,0.1,0.1,0.01,1.00E+00,
1.00E-05,1.00E-03,0.01,0.001,0.1,1.00E+00,
1.00E-03,1.00E-03,0.1,0.1,0.1,1.00E+00,
1.00E-05,1.00E-02,0.001,0.01,0.01,1.00E+00,
1.00E-07,1.00E-04,0.001,0.1,0.001,1.00E+00,
1.00E-05,1.00E-02,0.001,0.01,0.001,1.00E+00,
1.00E-05,1.00E-02,0.01,0.01,0.01,1.00E+00,
1.00E-05,1.00E-04,0.0001,0.001,0.1,1.00E+00,
1.00E-03,1.00E-03,0.01,0.001,0.0001,1.00E+00,
1.00E-07,1.00E-02,0.1,0.0001,0.01,1.00E+00,
1.00E-05,1.00E-03,0.01,0.1,0.1,1.00E+00,
1.00E-07,1.00E-03,0.1,0.001,0.1,1.00E+00,
1.00E-05,1.00E-02,0.1,0.01,0.1,1.00E+00,
1.00E-05,1.00E-01,0.1,0.001,0.1,1.00E+00,
1.00E-03,1.00E-04,0.0001,0.001,0.001,1.00E+00,
1.00E-03,1.00E-01,0.001,0.1,0.01,1.00E+00,
1.00E-05,1.00E-03,0.1,0.1,0.1,1.00E+00,
1.00E-09,1.00E-02,0.01,0.1,0.1,1.00E+00,
1.00E-09,1.00E-03,0.001,0.1,0.0001,1.00E+00,
1.00E-03,1.00E-03,0.01,0.1,0.01,1.00E+00,
1.00E-05,1.00E-03,0.01,0.1,0.01,1.00E+00,
1.00E-07,1.00E-01,0.001,0.0001,0.001,1.00E+00,
1.00E-09,1.00E-03,0.0001,0.0001,0.0001,1.00E+00,
1.00E-07,1.00E-02,0.1,0.0001,0.0001,1.00E+00,
