Top_Prob,Lower_1,Lower_2,Lower_3,Lower_4,Gate,Recommendation,total_redundancy
1.00E-05,1.00E-02,1.00E-03,1.00E-03,1.00E-02,0,Add Redundancy,2.20E-02
1.00E-09,1.00E-01,1.00E-01,1.00E-04,1.00E-04,0,Add Redundancy,2.00E-01
1.00E-03,1.00E-04,1.00E-04,1.00E-04,1.00E-04,0,Over Redundant,4.00E-04
1.00E-07,1.00E-04,1.00E-01,1.00E-04,1.00E-04,0,Add Redundancy,1.00E-01
1.00E-07,1.00E-01,1.00E-01,1.00E-03,1.00E-04,0,Add Redundancy,2.00E-01
4.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,0,Perfect,4.00E-04
1.00E-03,1.00E-04,1.00E-04,1.00E-04,1.00E-04,0,Over Redundant,4.00E-04
1.00E-09,1.00E-03,1.00E-03,1.00E-02,1.00E-01,0,Add Redundancy,1.10E-01
1.00E-07,1.00E-03,1.00E-04,1.00E-02,1.00E-04,0,Add Redundancy,1.10E-02
1.00E-07,1.00E-03,1.00E-02,1.00E-04,1.00E-03,0,Add Redundancy,1.20E-02
1.00E-09,1.00E-02,1.00E-01,1.00E-03,1.00E-02,0,Add Redundancy,1.20E-01
1.00E-07,1.00E-03,1.00E-04,1.00E-01,1.00E-03,0,Add Redundancy,1.00E-01
1.00E-09,1.00E-01,1.00E-03,1.00E-02,1.00E-01,0,Add Redundancy,2.10E-01
1.00E-07,1.00E-01,1.00E-03,1.00E-03,1.00E-01,0,Add Redundancy,2.00E-01
1.00E-07,1.00E-03,1.00E-04,1.00E-01,1.00E-04,0,Add Redundancy,1.00E-01
1.00E-03,1.00E-04,1.00E-04,1.00E-02,1.00E-03,0,Add Redundancy,1.10E-02
1.00E-09,1.00E-04,1.00E-02,1.00E-02,1.00E-02,0,Add Redundancy,3.00E-02
1.00E-09,1.00E-02,1.00E-04,1.00E-01,1.00E-02,0,Add Redundancy,1.20E-01
1.00E-05,1.00E-04,1.00E-04,1.00E-02,1.00E-01,0,Add Redundancy,1.10E-01
1.00E-05,1.00E-04,1.00E-04,1.00E-03,1.00E-04,0,Add Redundancy,1.30E-03
1.00E-03,1.00E-02,1.00E-01,1.00E-02,1.00E-04,0,Add Redundancy,1.20E-01
1.00E-03,1.00E-04,1.00E-03,1.00E-01,1.00E-03,0,Add Redundancy,1.00E-01
1.00E-07,1.00E-04,1.00E-03,1.00E-04,1.00E-02,0,Add Redundancy,1.10E-02
3.00E-03,1.00E-04,1.00E-04,1.00E-04,1.00E-03,0,Over Redundant,1.30E-03
1.00E-05,1.00E-03,1.00E-02,1.00E-01,1.00E-03,0,Add Redundancy,1.10E-01
1.00E-05,1.00E-01,1.00E-02,1.00E-02,1.00E-01,0,Add Redundancy,2.20E-01
1.00E-07,1.00E-02,1.00E-04,1.00E-01,1.00E-02,0,Add Redundancy,1.20E-01
1.00E-09,1.00E-02,1.00E-01,1.00E-02,1.00E-04,0,Add Redundancy,1.20E-01
1.00E-02,1.00E-04,1.00E-04,1.00E-04,1.00E-04,0,Over Redundant,4.00E-04
1.00E-03,1.00E-01,1.00E-02,1.00E-01,1.00E-01,0,Add Redundancy,3.10E-01
1.00E-05,1.00E-04,1.00E-01,1.00E-03,1.00E-01,0,Add Redundancy,2.00E-01
1.00E-07,1.00E-01,1.00E-03,1.00E-02,1.00E-03,0,Add Redundancy,1.10E-01
1.00E-05,1.00E-02,1.00E-01,1.00E-01,1.00E-01,0,Add Redundancy,3.10E-01
1.00E-09,1.00E-02,1.00E-03,1.00E-04,1.00E-02,0,Add Redundancy,2.10E-02
1.00E-05,1.00E-02,1.00E-02,1.00E-02,1.00E-03,0,Add Redundancy,3.10E-02
1.00E-05,1.00E-02,1.00E-02,1.00E-04,1.00E-03,0,Add Redundancy,2.10E-02
1.00E-05,1.00E-02,1.00E-03,1.00E-01,1.00E-02,0,Add Redundancy,1.20E-01
1.00E-07,1.00E-04,1.00E-01,1.00E-03,1.00E-02,1,Over Redundant,1.00E-10
1.00E-07,1.00E-02,1.00E-01,1.00E-01,1.00E-04,1,Over Redundant,1.00E-08
1.00E-09,1.00E-03,1.00E-03,1.00E-02,1.00E-01,1,Perfect,1.00E-09
1.00E-05,1.00E-02,1.00E-01,1.00E-01,1.00E-01,1,Perfect,1.00E-05
1.00E-03,1.00E-04,1.00E-04,1.00E-02,1.00E-04,1,Over Redundant,1.00E-14
1.00E-05,1.00E-02,1.00E-02,1.00E-03,1.00E-01,1,Over Redundant,1.00E-08
1.00E-05,1.00E-04,1.00E-03,1.00E-01,1.00E-01,1,Over Redundant,1.00E-09
1.00E-03,1.00E-01,1.00E-02,1.00E-04,1.00E-04,1,Over Redundant,1.00E-11
1.00E-07,1.00E-03,1.00E-01,1.00E-03,1.00E-02,1,Over Redundant,1.00E-09
1.00E-09,1.00E-03,1.00E-02,1.00E-02,1.00E-02,1,Perfect,1.00E-09
1.00E-09,1.00E-01,1.00E-02,1.00E-02,1.00E-02,1,Add Redundancy,1.00E-07
1.00E-03,1.00E-04,1.00E-02,1.00E-04,1.00E-03,1,Over Redundant,1.00E-13
1.00E-07,1.00E-03,1.00E-04,1.00E-03,1.00E-03,1,Over Redundant,1.00E-13
1.00E-03,1.00E-02,1.00E-01,1.00E-01,1.00E-04,1,Over Redundant,1.00E-08
1.00E-03,1.00E-02,1.00E-02,1.00E-03,1.00E-04,1,Over Redundant,1.00E-11
1.00E-07,1.00E-02,1.00E-01,1.00E-01,1.00E-01,1,Add Redundancy,1.00E-05
1.00E-07,1.00E-03,1.00E-02,1.00E-01,1.00E-03,1,Over Redundant,1.00E-09
1.00E-09,1.00E-04,1.00E-03,1.00E-01,1.00E-02,1,Over Redundant,1.00E-10
1.00E-03,1.00E-03,1.00E-03,1.00E-04,1.00E-02,1,Over Redundant,1.00E-12
1.00E-09,1.00E-03,1.00E-01,1.00E-04,1.00E-02,1,Over Redundant,1.00E-10
1.00E-05,1.00E-01,1.00E-02,1.00E-03,1.00E-03,1,Over Redundant,1.00E-09
1.00E-07,1.00E-04,1.00E-02,1.00E-02,1.00E-03,1,Over Redundant,1.00E-11
1.00E-03,1.00E-03,1.00E-03,1.00E-04,1.00E-02,1,Over Redundant,1.00E-12
1.00E-03,1.00E-03,1.00E-03,1.00E-02,1.00E-02,1,Over Redundant,1.00E-10
1.00E-05,1.00E-01,1.00E-02,1.00E-02,1.00E-04,1,Over Redundant,1.00E-09
1.00E-09,1.00E-02,1.00E-02,1.00E-01,1.00E-01,1,Add Redundancy,1.00E-06
1.00E-03,1.00E-01,1.00E-03,1.00E-03,1.00E-04,1,Over Redundant,1.00E-11
1.00E-05,1.00E-04,1.00E-03,1.00E-03,1.00E-04,1,Over Redundant,1.00E-14
1.00E-07,1.00E-02,1.00E-04,1.00E-03,1.00E-02,1,Over Redundant,1.00E-11
1.00E-07,1.00E-01,1.00E-01,1.00E-04,1.00E-01,1,Perfect,1.00E-07
1.00E-07,1.00E-03,1.00E-01,1.00E-01,1.00E-02,1,Perfect,1.00E-07
1.00E-07,1.00E-04,1.00E-04,1.00E-03,1.00E-04,1,Over Redundant,1.00E-15
1.00E-09,1.00E-04,1.00E-02,1.00E-04,1.00E-03,1,Over Redundant,1.00E-13
1.00E-05,1.00E-01,1.00E-04,1.00E-04,1.00E-04,1,Over Redundant,1.00E-13
1.00E-07,1.00E-04,1.00E-01,1.00E-01,1.00E-04,1,Over Redundant,1.00E-10
1.00E-09,1.00E-01,1.00E-03,1.00E-04,1.00E-01,1,Perfect,1.00E-09
1.00E-05,1.00E-01,1.00E-02,1.00E-02,1.00E-01,1,Over Redundant,1.00E-06
1.00E-07,1.00E-03,1.00E-01,1.00E-01,1.00E-01,1,Add Redundancy,1.00E-06
1.00E-05,1.00E-01,1.00E-04,1.00E-04,1.00E-01,1,Over Redundant,1.00E-10
1.00E-07,1.00E-01,1.00E-02,1.00E-01,1.00E-03,1,Perfect,1.00E-07
1.00E-03,1.00E-01,1.00E-02,1.00E-02,1.00E-01,1,Over Redundant,1.00E-06
1.00E-07,1.00E-04,1.00E-03,1.00E-04,1.00E-04,1,Over Redundant,1.00E-15
1.00E-07,1.00E-02,1.00E-04,1.00E-03,1.00E-03,1,Over Redundant,1.00E-12
1.00E-09,1.00E-04,1.00E-04,1.00E-04,1.00E-03,1,Over Redundant,1.00E-15
1.00E-03,1.00E-04,1.00E-02,1.00E-04,1.00E-02,1,Over Redundant,1.00E-12
1.00E-05,1.00E-03,1.00E-03,1.00E-02,1.00E-02,1,Over Redundant,1.00E-10
1.00E-07,1.00E-03,1.00E-01,1.00E-01,1.00E-02,1,Perfect,1.00E-07
1.00E-05,1.00E-03,1.00E-02,1.00E-03,1.00E-01,1,Over Redundant,1.00E-09
1.00E-03,1.00E-03,1.00E-01,1.00E-01,1.00E-01,1,Over Redundant,1.00E-06
1.00E-05,1.00E-02,1.00E-03,1.00E-02,1.00E-02,1,Over Redundant,1.00E-09
1.00E-07,1.00E-04,1.00E-03,1.00E-01,1.00E-03,1,Over Redundant,1.00E-11
1.00E-05,1.00E-02,1.00E-03,1.00E-02,1.00E-03,1,Over Redundant,1.00E-10
1.00E-05,1.00E-02,1.00E-02,1.00E-02,1.00E-02,1,Over Redundant,1.00E-08
1.00E-05,1.00E-04,1.00E-04,1.00E-03,1.00E-01,1,Over Redundant,1.00E-12
1.00E-03,1.00E-03,1.00E-02,1.00E-03,1.00E-04,1,Over Redundant,1.00E-12
1.00E-07,1.00E-02,1.00E-01,1.00E-04,1.00E-02,1,Over Redundant,1.00E-09
1.00E-05,1.00E-03,1.00E-02,1.00E-01,1.00E-01,1,Over Redundant,1.00E-07
1.00E-07,1.00E-03,1.00E-01,1.00E-03,1.00E-01,1,Over Redundant,1.00E-08
1.00E-05,1.00E-02,1.00E-01,1.00E-02,1.00E-01,1,Over Redundant,1.00E-06
1.00E-05,1.00E-01,1.00E-01,1.00E-03,1.00E-01,1,Over Redundant,1.00E-06
1.00E-03,1.00E-04,1.00E-04,1.00E-03,1.00E-03,1,Over Redundant,1.00E-14
1.00E-03,1.00E-01,1.00E-03,1.00E-01,1.00E-02,1,Over Redundant,1.00E-07
1.00E-05,1.00E-03,1.00E-01,1.00E-01,1.00E-01,1,Over Redundant,1.00E-06
1.00E-09,1.00E-02,1.00E-02,1.00E-01,1.00E-01,1,Add Redundancy,1.00E-06
1.00E-09,1.00E-03,1.00E-03,1.00E-01,1.00E-04,1,Over Redundant,1.00E-11
1.00E-03,1.00E-03,1.00E-02,1.00E-01,1.00E-02,1,Over Redundant,1.00E-08
1.00E-05,1.00E-03,1.00E-02,1.00E-01,1.00E-02,1,Over Redundant,1.00E-08
1.00E-07,1.00E-01,1.00E-03,1.00E-04,1.00E-03,1,Over Redundant,1.00E-11
1.00E-09,1.00E-03,1.00E-04,1.00E-04,1.00E-04,1,Over Redundant,1.00E-15
1.00E-07,1.00E-02,1.00E-01,1.00E-04,1.00E-04,1,Over Redundant,1.00E-11
